日期,日期區間(若為推算合併值),資料狀態,廠商,SKU,商品名稱,售價,銷售數量,退回數量,淨銷售數量,售額總計
2026-06-06,,每日明細,補完計畫,1000842-180,寬版T恤-佛系賺錢_好想兔（深灰） - L,890.0,1.0,0,1.0,890.0
2026-06-06,,每日明細,補完計畫,1000842-181,寬版T恤-佛系賺錢_好想兔（深灰） - XL,890.0,1.0,0,1.0,890.0
2026-06-06,,每日明細,補完計畫,1000843-83,帆布袋-不是在賺錢就是在賺錢的路上_好想兔,550.0,1.0,0,1.0,550.0
2026-06-06,,每日明細,補完計畫,1000845-171,方型陶瓷杯墊-再撐一下！_好想兔,280.0,1.0,0,1.0,280.0
2026-06-06,,每日明細,補完計畫,1000884-173,辦公桌墊-為了錢，我忍_好想兔,650.0,5.0,0,5.0,3250.0
2026-06-06,,每日明細,補完計畫,1000886-174,滑鼠墊-我愛上班_好想兔,390.0,1.0,0,1.0,390.0
2026-06-06,,每日明細,屋極國際,20240808208,好想兔-15公分吊飾,250.0,9.0,0,9.0,2250.0
2026-06-06,,每日明細,金獎樂園,20251202001A,壓克力轉轉盤,199.0,1.0,0,1.0,199.0
2026-06-06,,每日明細,金獎樂園,20251202003A,壓克力吊飾(共8款),100.0,5.0,0,5.0,500.0
2026-06-06,,每日明細,金獎樂園,20251202004A,壓克力冰箱貼(共8款),100.0,7.0,0,7.0,700.0
2026-06-06,,每日明細,謙謙創藝,2025136,一番賞抽獎,300.0,13.0,0,13.0,3900.0
2026-06-06,,每日明細,金獎樂園,2026013100023,兒童書包 - (灰色款),299.0,1.0,0,1.0,299.0
2026-06-06,,每日明細,謙謙創藝,4256525610001,好想兔的社畜人生-Ｌ型雙層資料夾(1包2入),69.0,1.0,0,1.0,69.0
2026-06-06,,每日明細,謙謙創藝,4256525610005,FOLDABLE BOTTLE 好想兔旅行折疊水瓶,290.0,3.0,0,3.0,870.0
2026-06-06,,每日明細,謙謙創藝,4256525610007,薪水入袋款-好想兔壓克力手機架,120.0,2.0,0,2.0,240.0
2026-06-06,,每日明細,謙謙創藝,4256525610017,好想兔造型中筒襪-好想喝珍奶款,190.0,2.0,0,2.0,380.0
2026-06-06,,每日明細,謙謙創藝,4256525610018,甜如蜜-好想兔透明文具袋三套組(1組3入),190.0,2.0,0,2.0,380.0
2026-06-06,,每日明細,謙謙創藝,4256525610020,好想兔3D場景貼紙組-血汗辦公室,49.0,2.0,0,2.0,98.0
2026-06-06,,每日明細,謙謙創藝,4256525610021,好想兔3D場景貼紙組-瘋狂美容院,49.0,2.0,0,2.0,98.0
2026-06-06,,每日明細,謙謙創藝,4256525610022,好想兔3D場景貼紙組-社畜心理診所,49.0,1.0,0,1.0,49.0
2026-06-06,,每日明細,謙謙創藝,4256525610023,好想兔3D場景貼紙組-八卦熱炒店,49.0,2.0,0,2.0,98.0
2026-06-06,,每日明細,謙謙創藝,4256525610027,能屈能伸-好想兔磁吸彎曲掛勾(1組2入),380.0,5.0,0,5.0,1900.0
2026-06-06,,每日明細,謙謙創藝,4256525610028,好好吃好好喝-好想兔隔熱墊組(1組2入),390.0,1.0,0,1.0,390.0
2026-06-06,,每日明細,謙謙創藝,4256525610034,好想兔辦公日常-分類磁鐵四件組,180.0,8.0,0,8.0,1440.0
2026-06-06,,每日明細,謙謙創藝,429506001,十週年紙袋(贈送),0.0,78.0,1,77.0,0.0
2026-06-06,,每日明細,謙謙創藝,429506060112,手機包膜服務,1480.0,1.0,0,1.0,1480.0
2026-06-06,,每日明細,(無廠商-門票/現場服務類),429520260601,十週年特展-現場票券 - 全票,350.0,22.0,1,21.0,7350.0
2026-06-06,,每日明細,(無廠商-門票/現場服務類),429520260602,十週年特展-現場票券 - 雙人票,649.0,61.0,1,60.0,38940.0
2026-06-06,,每日明細,(無廠商-門票/現場服務類),429520260603,十週年特展-現場票券 - 學生票,249.0,8.0,0,8.0,1992.0
2026-06-06,,每日明細,(無廠商-門票/現場服務類),429520260605,十週年特展-現場票券 - 陪同票,175.0,8.0,0,8.0,1400.0
2026-06-06,,每日明細,謙謙創藝,4295656901016,【十週年】懷舊帆布袋,299.0,5.0,0,5.0,1495.0
2026-06-06,,每日明細,謙謙創藝,4295656907032,好想兔財運飽開運鹽燈,599.0,1.0,0,1.0,599.0
2026-06-06,,每日明細,謙謙創藝,4295656924046,好想賺大錢-好想兔磁吸小夜燈,999.0,3.0,0,3.0,2997.0
2026-06-06,,每日明細,謙謙創藝,4295656924053,好想鎖住你-鈴鐺鑰匙圈好想兔款,199.0,6.0,0,6.0,1194.0
2026-06-06,,每日明細,謙謙創藝,4295656924060,好想鎖住你-鈴鐺鑰匙圈小賤狗款,199.0,1.0,0,1.0,199.0
2026-06-06,,每日明細,謙謙創藝,4295656924077,好想兔愛情兌換卷卡,199.0,2.0,0,2.0,398.0
2026-06-06,,每日明細,謙謙創藝,4295656924138,好想兔結婚婚約套組,999.0,3.0,0,3.0,2997.0
2026-06-06,,每日明細,謙謙創藝,4711035715321,好想兔搖頭公仔-招財款,350.0,8.0,0,8.0,2800.0
2026-06-06,,每日明細,謙謙創藝,4711035715338,好想兔搖頭公仔-佛祖款,350.0,1.0,0,1.0,350.0
2026-06-06,,每日明細,謙謙創藝,4711035715345,好想兔搖頭公仔-媽祖款,350.0,5.0,0,5.0,1750.0
2026-06-06,,每日明細,謙謙創藝,4711035715352,好想兔搖頭公仔-歡唱款,350.0,1.0,0,1.0,350.0
2026-06-06,,每日明細,野村貿易,4711070000031,好想兔x達爾文聯名-毛寵柑仔店 - 火龍果,180.0,1.0,0,1.0,180.0
2026-06-06,,每日明細,野村貿易,4711070000055,好想兔x達爾文聯名-毛寵柑仔店 - 香蕉,180.0,1.0,0,1.0,180.0
2026-06-06,,每日明細,極程,4711508950136,機車公仔第二彈(單抽) - 單盒X1,450.0,23.0,0,23.0,10350.0
2026-06-06,,每日明細,進豐,4711527845291,流沙杯墊-粉紅海,299.0,1.0,0,1.0,299.0
2026-06-06,,每日明細,進豐,4711527845307,流沙杯墊-涼一夏,299.0,1.0,0,1.0,299.0
2026-06-06,,每日明細,進豐,4711527845314,流沙杯墊-太空漫遊,299.0,1.0,0,1.0,299.0
2026-06-06,,每日明細,進豐,4711527845918,好想兔方型木杯墊-珍奶,290.0,3.0,0,3.0,870.0
2026-06-06,,每日明細,進豐,4711527845932,好想兔方型木盤-有我的份嗎？！,490.0,1.0,0,1.0,490.0
2026-06-06,,每日明細,謙謙創藝,4712025010082,好想兔泡麵碗,449.0,3.0,0,3.0,1347.0
2026-06-06,,每日明細,青青文具,4712692014451,壓克力造型鑰匙圈(鹹蛋超兔),100.0,1.0,0,1.0,100.0
2026-06-06,,每日明細,青青文具,4712692014468,壓克力造型鑰匙圈(嗡嗡嗡),100.0,1.0,0,1.0,100.0
2026-06-06,,每日明細,青青文具,4712692014482,壓克力造型鑰匙圈(安全帽兔),100.0,1.0,0,1.0,100.0
2026-06-06,,每日明細,青青文具,4712692016615,門禁卡套鑰匙圈(獨角獸),129.0,1.0,0,1.0,129.0
2026-06-06,,每日明細,青青文具,4712692018121,皮革卡套鑰匙圈(吹涼涼),90.0,4.0,0,4.0,360.0
2026-06-06,,每日明細,青青文具,4712692018138,皮革卡套鑰匙圈(西瓜冰棒),90.0,4.0,0,4.0,360.0
2026-06-06,,每日明細,青青文具,4712692018169,門禁卡套鑰匙圈(享受一下),129.0,2.0,0,2.0,258.0
2026-06-06,,每日明細,青青文具,4712692018176,門禁卡套鑰匙圈(清涼一下),129.0,1.0,0,1.0,129.0
